location,property_type,bedrooms,bathrooms,area_sqft,age_years,floor,parking_spaces,metro_distance_km,clubhouse,swimming_pool,gym,security_rating,price_inr
Sector 57,Apartment,4,5,1778,3,22,1,6.27,1,0,1,2,40213216
Sector 56,Apartment,3,3,1139,14,14,3,8.83,1,1,1,3,20688220
Sector 56,Villa,2,2,1252,17,9,3,2.54,1,0,1,5,19670894
Sector 83,Apartment,2,3,1325,8,18,2,1.14,1,0,1,2,30029638
Golf Course Extension Road,Apartment,3,4,2102,19,8,3,13.21,1,0,1,4,50671453
DLF Phase 5,Apartment,2,3,986,3,38,1,5.04,0,1,1,4,45347655
South City 1,Builder Floor,2,3,758,15,15,1,5.32,0,0,1,2,15816183
DLF Phase 3,Builder Floor,2,3,1541,17,15,3,13.18,0,0,0,2,34819986
Sector 85,Apartment,2,2,1343,4,6,3,10.65,0,0,1,2,22222820
Sector 54,Apartment,2,2,1093,12,12,1,11.37,1,1,0,4,27333313
Sector 82,Penthouse,1,1,450,5,42,1,10.26,1,1,1,5,13690039
New Gurgaon,Apartment,2,2,1012,21,19,1,1.68,0,1,1,3,20586534
Sector 92,Builder Floor,3,3,2092,18,40,1,14.37,1,1,0,5,37319342
DLF Phase 5,Builder Floor,3,3,1982,11,5,3,13.65,0,1,1,1,49903686
Sector 65,Apartment,2,2,814,14,27,2,3.62,1,0,1,2,17093016
DLF Phase 4,Apartment,4,4,2746,8,10,2,12.08,1,1,0,5,62532079
Sector 82,Apartment,4,5,2350,6,43,2,6.2,1,0,0,3,45032733
Sector 57,Apartment,3,4,2332,13,14,3,10.29,0,1,1,5,42696556
Golf Course Extension Road,Villa,4,4,2009,18,34,1,2.57,1,0,1,1,51631853
Sector 56,Villa,3,3,1540,19,15,2,8.12,1,1,1,1,26177700
South City 1,Apartment,1,1,616,15,29,3,1.99,1,1,1,5,14758993
Sector 67,Apartment,4,5,2166,22,26,1,8.09,1,1,1,3,41221791
Sohna Road,Villa,2,3,955,23,27,3,3.73,0,1,1,5,21663908
Sector 65,Builder Floor,5,5,4289,21,3,2,6.84,0,1,1,2,75967813
Palam Vihar,Villa,3,4,2396,3,3,0,10.05,0,1,0,3,46527837
Sector 89,Apartment,2,2,931,11,35,1,13.17,1,0,1,4,15305024
DLF Phase 1,Apartment,3,3,1892,17,35,2,2.56,1,0,1,3,41462451
Sector 83,Builder Floor,3,3,1156,7,6,2,13.41,0,0,1,5,20751540
Palam Vihar,Builder Floor,1,1,838,16,14,2,5.91,0,0,1,5,12951094
Sector 84,Apartment,3,3,2119,24,26,1,12.67,1,0,1,4,36525825
Sector 85,Apartment,4,5,2962,23,3,2,7.74,1,1,1,1,54457310
Sector 54,Apartment,3,3,1694,2,33,1,12.95,1,1,0,5,32288860
Sector 85,Apartment,2,2,1528,3,42,1,9.98,0,0,1,1,26374368
Golf Course Extension Road,Apartment,2,2,1529,9,13,1,7.68,1,0,1,1,44840046
Sector 85,Villa,4,4,2307,15,29,2,4.76,0,1,1,2,41931683
Sohna Road,Apartment,3,4,1317,19,9,1,14.54,1,0,1,1,21514298
Golf Course Road,Builder Floor,3,3,1982,1,32,1,12.03,1,1,1,3,55811339
Golf Course Extension Road,Apartment,5,5,2911,11,22,1,5.78,1,0,1,1,65540886
South City 1,Builder Floor,2,3,1718,15,22,1,2.58,1,1,1,2,21136166
Palam Vihar,Penthouse,3,3,1821,9,34,1,11.72,0,0,1,5,33479887
Sector 56,Apartment,4,4,2459,4,10,2,14.85,1,0,0,5,51271095
Sector 54,Apartment,4,4,2851,11,25,2,4.26,1,1,0,4,52951108
Sector 67,Apartment,2,2,1200,2,12,2,13.75,1,0,1,1,25935319
Sector 57,Apartment,2,3,1394,11,3,2,1.97,0,0,1,3,25208020
Golf Course Extension Road,Builder Floor,3,3,1573,0,19,1,14.29,1,0,0,4,47895117
Sector 57,Villa,2,2,886,1,33,4,11.21,1,1,1,4,21510459
Sector 67,Apartment,5,6,2361,10,26,1,5.26,0,0,1,2,47688614
DLF Phase 3,Apartment,2,2,1105,11,13,2,4.64,1,1,0,5,29452533
DLF Phase 3,Apartment,2,2,1233,6,7,3,9.69,1,1,0,1,33893631
DLF Phase 1,Builder Floor,1,2,669,0,34,2,8.94,0,1,1,1,18774079
New Gurgaon,Apartment,3,3,1991,12,22,1,13.79,1,0,0,5,29596654
Sector 92,Apartment,4,5,2405,12,20,1,11.52,1,1,1,2,45195627
DLF Phase 2,Apartment,3,3,1350,1,43,0,8.15,1,1,1,2,27563601
DLF Phase 3,Builder Floor,5,6,3489,9,23,2,13.92,1,0,0,2,69077046
Sector 82,Apartment,2,2,779,22,14,2,8.93,1,0,0,3,12028933
Golf Course Road,Builder Floor,2,2,873,0,30,2,12.76,1,1,1,1,43061592
Sector 67,Apartment,4,5,2425,6,23,0,12.63,0,1,1,2,43831469
New Gurgaon,Apartment,4,4,2846,12,19,3,13.8,1,0,0,2,53750672
DLF Phase 1,Villa,4,5,2751,23,39,2,1.11,1,1,1,5,50960070
Sector 92,Builder Floor,4,5,2343,1,41,1,8.8,1,1,1,4,46916725
Sector 89,Apartment,3,4,1986,19,36,1,7.08,1,0,1,4,39020225
DLF Phase 1,Apartment,2,3,901,6,6,2,7.41,1,0,1,4,19509831
New Gurgaon,Apartment,5,5,2606,16,23,2,6.95,0,1,0,1,50593745
Palam Vihar,Apartment,2,3,1046,21,10,1,12.58,1,0,1,3,16938472
DLF Phase 2,Apartment,3,3,1390,4,35,1,4.84,1,1,1,1,28572954
Sector 82,Apartment,3,3,1649,10,21,3,6.99,1,1,1,5,35980464
Sector 70,Apartment,2,3,1141,21,32,1,3.09,1,0,1,2,19031129
Sector 89,Builder Floor,4,5,2141,23,30,1,3.85,0,0,1,1,36731297
Sector 54,Apartment,2,2,1128,10,33,3,9.94,1,0,1,4,20978008
Sector 82,Builder Floor,4,5,797,10,6,2,1.84,1,0,1,3,24102244
Golf Course Road,Apartment,3,3,1961,16,5,2,2.9,1,1,1,5,56780528
Sector 92,Villa,3,4,1629,18,15,2,7.97,0,1,1,2,35155673
Sector 57,Builder Floor,3,3,1629,24,43,2,0.75,1,1,1,3,32248640
DLF Phase 5,Builder Floor,2,2,811,7,25,2,1.99,1,1,1,1,34239074
Sector 92,Builder Floor,3,4,2451,19,13,4,12.96,1,1,1,1,44366195
DLF Phase 2,Villa,3,3,2471,13,6,1,12.71,1,1,0,3,45324802
Golf Course Road,Apartment,3,3,1099,9,37,1,5.28,1,1,1,3,43689850
Sector 85,Apartment,2,3,1134,24,2,1,5.29,0,1,1,2,21702075
South City 1,Apartment,2,3,1459,6,17,2,14.05,1,0,1,4,25236606
Sector 89,Builder Floor,2,3,1099,1,24,2,0.49,1,1,1,3,26492627
Sector 57,Builder Floor,3,4,1545,16,12,1,8.75,1,1,1,2,36402287
New Gurgaon,Apartment,1,2,506,0,44,1,9.0,0,1,1,3,8999436
Golf Course Road,Apartment,4,4,2575,12,14,1,11.84,1,1,1,3,70393491
Sector 70,Apartment,3,3,2898,18,7,1,14.28,1,0,1,4,41804840
Sector 67,Villa,4,5,2863,13,26,4,5.4,0,0,1,2,58663343
Sector 54,Apartment,4,4,1779,17,32,2,6.62,0,0,1,1,28439227
Sector 65,Apartment,2,2,1023,19,29,0,10.1,1,0,1,2,18161427
Sector 89,Apartment,4,4,2250,13,39,1,14.51,1,1,0,2,44556658
Sector 89,Apartment,3,3,1439,14,9,0,13.37,1,1,1,2,26944526
New Gurgaon,Villa,4,4,1814,13,14,2,10.04,1,0,1,4,35551577
Sector 89,Builder Floor,4,5,2819,23,17,2,12.87,1,0,0,4,49055615
Sector 67,Builder Floor,1,2,529,4,25,4,1.37,1,1,1,5,13587811
Sector 70,Apartment,3,3,1956,15,30,2,5.72,0,0,0,1,29540740
Sector 85,Builder Floor,3,3,2548,4,29,2,0.3,0,1,1,4,40056638
Sector 65,Apartment,3,4,1579,21,29,3,2.74,1,0,1,4,34952805
DLF Phase 4,Builder Floor,2,3,1276,12,18,2,9.49,1,0,1,2,36184367
Sector 56,Apartment,2,3,913,15,31,1,13.29,1,0,0,2,16370692
Sector 84,Apartment,3,4,1974,14,19,2,9.53,1,1,1,3,33321792
DLF Phase 4,Builder Floor,3,3,2346,4,17,2,10.0,1,1,0,3,56771074
Sector 65,Villa,5,6,3873,20,6,2,1.65,0,1,1,3,72525804
Sector 67,Apartment,4,5,2423,22,12,1,10.01,1,0,1,4,42981538
DLF Phase 4,Builder Floor,3,3,1582,5,38,1,6.87,1,1,0,3,50591159
Sector 56,Apartment,1,2,633,12,3,1,9.81,1,1,0,1,11394996
DLF Phase 3,Apartment,2,3,1214,15,35,0,4.96,1,0,0,3,32347910
Sector 82,Apartment,3,4,1993,9,33,3,8.76,1,1,1,5,39953461
DLF Phase 2,Apartment,4,5,2044,1,29,2,6.42,0,1,1,5,43873805
Sector 84,Apartment,3,4,1631,12,3,2,8.42,1,0,1,2,33509778
Golf Course Road,Apartment,3,3,1708,16,5,2,2.29,1,0,1,4,54762687
Sohna Road,Apartment,4,4,2773,0,14,2,6.0,1,1,0,5,50805665
DLF Phase 3,Villa,4,4,2847,3,36,4,5.68,1,1,1,1,68129865
Sector 85,Apartment,2,2,1079,17,28,1,11.07,0,1,0,2,21246912
Palam Vihar,Builder Floor,1,1,450,5,41,2,10.63,1,1,1,5,11447904
DLF Phase 1,Apartment,2,3,1301,11,32,1,13.64,1,0,1,3,26173035
Sector 83,Builder Floor,3,4,2107,24,18,3,9.52,0,1,1,5,34089708
Golf Course Extension Road,Apartment,5,6,2906,23,42,3,4.79,1,1,1,5,65572132
DLF Phase 3,Apartment,2,3,1000,19,40,3,11.77,1,0,1,2,30175061
South City 1,Apartment,1,2,533,12,13,0,7.51,1,0,0,4,5871845
DLF Phase 4,Apartment,4,5,3318,1,2,1,2.98,1,0,1,3,81884420
Sector 57,Apartment,4,5,2524,16,25,1,11.24,0,1,1,3,44233037
DLF Phase 5,Builder Floor,5,6,3709,22,20,2,2.07,1,1,1,3,81644189
Sector 89,Villa,3,4,1462,9,7,2,2.75,0,1,0,3,28175732
Sector 82,Builder Floor,3,4,2308,18,11,1,11.41,1,1,1,4,38281511
Sohna Road,Builder Floor,2,3,1450,21,5,2,11.58,1,0,1,3,25089881
Golf Course Road,Apartment,2,3,1171,4,29,1,11.88,1,1,0,4,45968410
Sector 85,Apartment,3,4,2055,20,18,3,4.47,1,1,1,2,35654045
Sector 89,Apartment,3,3,2343,11,8,1,13.01,1,1,1,1,40876925
Sector 82,Apartment,2,3,889,17,27,1,10.87,0,1,1,4,14746095
Golf Course Extension Road,Apartment,4,4,2105,8,42,2,12.53,0,1,1,3,55864733
Sector 56,Apartment,2,3,1346,10,2,2,10.66,0,1,0,2,20902612
Golf Course Road,Apartment,4,5,2411,3,35,1,8.74,0,1,1,2,73143817
Sector 70,Apartment,2,3,1315,9,26,3,1.73,1,0,0,5,26343615
Sector 84,Builder Floor,4,4,2785,0,23,2,10.69,1,1,0,5,54869155
Sector 57,Builder Floor,2,2,1339,1,5,3,10.39,1,1,1,1,22389332
Sector 89,Apartment,4,5,2258,8,16,3,4.76,1,1,1,1,44811220
DLF Phase 5,Villa,2,3,1148,22,42,2,11.06,0,0,1,5,43998409
South City 1,Villa,3,4,2453,17,11,3,8.3,1,1,0,5,42545239
Golf Course Extension Road,Apartment,4,5,2448,15,19,3,8.44,1,0,0,2,58899780
Sector 89,Apartment,2,2,1579,22,16,4,5.58,0,0,1,4,25898531
Sector 92,Apartment,2,2,1598,13,32,3,1.84,1,1,0,5,28676135
Golf Course Extension Road,Villa,4,5,1962,3,12,3,3.33,0,1,0,3,57103124
DLF Phase 2,Villa,4,4,2811,1,2,2,11.56,1,1,1,4,57337353
South City 1,Apartment,1,1,450,11,43,1,4.14,1,0,1,4,3924044
Sector 83,Apartment,2,3,1652,19,22,3,0.13,1,1,1,3,29282701
Sector 67,Apartment,2,3,1252,4,26,2,14.96,1,1,1,3,21158663
Sohna Road,Apartment,2,3,1239,3,33,1,3.24,1,0,1,3,26392460
Golf Course Road,Apartment,5,5,2394,14,24,1,9.87,1,0,1,2,70310214
Golf Course Road,Villa,3,4,1545,2,5,2,13.91,1,0,0,5,50888023
Sector 57,Builder Floor,3,3,1894,21,21,2,9.04,0,1,1,5,32584379
DLF Phase 4,Builder Floor,5,6,3063,16,18,1,12.01,1,0,0,2,71637957
Sector 54,Villa,3,4,1638,7,39,1,14.65,1,0,1,4,30829671
DLF Phase 5,Builder Floor,3,3,2168,11,5,2,12.92,1,1,1,2,59684042
Sector 84,Apartment,2,2,1199,20,8,1,8.41,0,1,1,5,19124286
Sector 92,Apartment,3,3,1375,7,21,2,5.52,0,0,1,1,29333355
Golf Course Extension Road,Apartment,3,3,2102,19,5,3,7.29,1,0,0,2,48368467
Sector 82,Builder Floor,2,2,875,19,13,3,12.64,0,1,1,1,18858872
Sector 82,Apartment,2,2,661,4,19,1,12.81,1,0,1,1,15104170
Sector 70,Builder Floor,2,3,1226,20,29,1,12.7,0,0,1,3,16279879
Sector 67,Apartment,1,1,455,5,2,2,9.0,0,0,1,3,5890963
Sector 54,Apartment,3,3,1874,4,37,2,7.21,0,1,0,3,32644507
Sector 67,Apartment,3,4,2142,20,26,1,4.74,1,1,1,1,38033852
Palam Vihar,Apartment,3,3,2213,7,29,1,0.15,1,1,1,5,41858848
Sector 57,Builder Floor,2,2,1339,21,5,3,11.49,1,1,1,3,23797030
Sector 56,Builder Floor,3,4,1243,17,32,3,4.23,1,1,1,3,31623855
DLF Phase 4,Apartment,2,3,998,3,38,2,5.01,1,1,1,4,39530878
Sector 84,Apartment,3,4,1802,3,2,1,12.67,1,1,1,1,34176473
Sector 70,Apartment,4,4,2408,4,5,1,0.88,1,1,1,1,45841616
Sector 85,Apartment,2,3,936,14,33,1,13.92,0,1,1,3,20443919
Sector 54,Apartment,4,4,2141,5,35,1,0.12,0,0,1,4,45343070
Sector 83,Villa,4,5,2853,20,19,2,14.09,1,0,0,4,55743351
DLF Phase 1,Apartment,1,1,670,15,15,2,6.88,0,1,1,2,13785585
Golf Course Extension Road,Apartment,1,2,556,13,35,1,1.62,1,0,0,2,22415309
Sector 56,Apartment,5,6,3720,13,8,3,10.15,1,0,0,3,70073358
Sector 57,Apartment,2,3,828,15,1,2,13.45,1,0,1,1,21117643
DLF Phase 3,Apartment,4,4,2860,21,38,2,6.63,1,0,1,4,59755574
Palam Vihar,Apartment,3,3,2087,23,22,4,10.4,1,0,1,4,34689981
South City 1,Apartment,2,3,1409,3,17,2,14.69,0,0,1,4,22497803
Sector 70,Apartment,2,3,1283,10,16,3,3.69,1,1,1,1,25290425
Sector 82,Apartment,3,4,1525,18,1,1,12.32,0,0,0,2,25627228
DLF Phase 2,Apartment,3,4,2048,24,3,1,4.5,1,1,0,3,36619141
Sector 70,Apartment,3,3,1625,18,6,2,6.45,0,0,0,2,28710618
Sector 83,Villa,4,5,2514,7,3,2,4.3,1,0,1,4,50898753
Golf Course Extension Road,Apartment,4,5,1992,9,30,1,6.75,0,1,0,4,54864385
DLF Phase 4,Apartment,2,2,1103,4,11,2,0.18,1,1,1,1,39646108
Sector 85,Apartment,4,4,2319,15,27,0,4.62,1,1,0,1,44070719
DLF Phase 5,Apartment,4,5,2623,24,22,2,6.73,0,0,0,1,64646481
Golf Course Road,Apartment,5,6,3397,2,6,2,9.52,1,0,1,3,83827945
Golf Course Extension Road,Builder Floor,3,3,2512,9,38,2,9.6,0,1,1,5,58645514
Sector 82,Builder Floor,4,4,2482,23,41,2,8.8,1,0,1,5,46053245
DLF Phase 1,Apartment,3,4,1401,12,31,4,4.47,1,1,1,3,23722540
DLF Phase 4,Apartment,2,2,1423,6,43,1,14.22,1,1,1,3,41716963
DLF Phase 1,Apartment,5,5,3236,11,6,4,5.94,0,1,0,3,60492790
Sector 54,Villa,1,2,573,22,20,1,3.33,0,1,1,2,11575237
Sector 85,Builder Floor,2,3,1087,13,41,2,8.36,1,0,1,3,22876256
Sector 70,Apartment,4,4,2053,9,11,2,11.26,1,0,0,2,43367161
Palam Vihar,Apartment,2,3,1017,8,2,3,0.28,1,1,1,1,20608406
Sector 54,Apartment,4,5,1716,11,31,3,4.22,1,1,1,4,33470490
Sector 56,Apartment,3,4,2205,23,38,3,12.39,1,0,1,5,43087535
Sector 84,Apartment,1,2,660,2,26,1,7.65,1,0,0,4,16338206
DLF Phase 4,Apartment,3,4,1839,12,27,3,6.19,0,0,1,5,48513259
Sector 82,Builder Floor,4,4,2052,5,31,1,13.97,0,1,1,1,38006054
Sector 83,Apartment,3,3,2257,5,24,0,1.43,0,0,0,5,41708314
New Gurgaon,Apartment,5,6,2005,20,13,1,9.27,0,1,1,1,40979432
Sector 67,Villa,4,5,2326,18,25,2,5.2,1,1,1,4,42811574
Sector 57,Apartment,2,3,1475,24,37,2,1.16,1,1,1,2,29174565
Sector 54,Apartment,2,2,642,6,41,1,3.28,1,1,1,5,17417910
Sector 54,Apartment,5,5,3123,3,25,1,9.46,0,0,1,3,54515462
Golf Course Road,Apartment,3,3,1522,21,29,2,0.52,1,0,1,2,51934574
DLF Phase 1,Builder Floor,2,2,1233,4,31,4,8.92,1,1,1,2,26689331
Palam Vihar,Apartment,4,5,2190,0,43,2,14.36,1,1,1,1,41965252
Golf Course Road,Apartment,4,5,2732,17,39,2,11.95,1,0,1,4,70981444
Sector 67,Apartment,3,3,2317,16,2,2,5.25,0,1,0,3,41192576
Palam Vihar,Builder Floor,3,3,2855,8,12,3,2.16,1,1,1,4,46263417
Palam Vihar,Builder Floor,3,4,1752,8,5,4,7.03,1,0,1,4,34829178
DLF Phase 5,Apartment,3,4,2109,20,27,2,5.95,1,1,1,2,57602074
Sector 82,Apartment,4,5,2591,23,34,2,14.58,0,1,0,3,45797714
Sector 85,Builder Floor,5,6,3291,9,14,3,14.85,1,0,1,5,65791360
Sector 92,Apartment,3,4,2419,19,7,4,6.22,1,0,1,3,45602666
Sector 70,Builder Floor,4,4,2016,16,37,1,2.32,1,0,0,1,37789175
Sector 82,Builder Floor,5,6,2749,12,36,2,13.67,0,1,1,2,52250626
DLF Phase 5,Villa,2,2,1150,3,10,3,11.92,1,1,1,3,42211509
DLF Phase 4,Apartment,1,1,462,22,29,2,7.72,0,0,1,1,13397520
DLF Phase 2,Apartment,4,5,2399,17,16,2,5.54,1,1,0,5,41601454
Golf Course Extension Road,Builder Floor,2,2,1384,17,38,2,6.78,1,0,1,4,36736921
Sector 56,Apartment,1,1,715,21,21,1,13.54,1,1,1,4,16299995
Sector 83,Apartment,2,3,1148,8,38,1,2.85,0,1,0,1,21742419
Sector 56,Villa,3,3,2279,2,41,4,12.12,0,1,1,2,44835998
Sector 85,Villa,2,3,619,6,33,2,0.37,1,1,0,4,12875013
Sector 84,Apartment,2,3,1851,14,29,3,13.82,1,1,1,2,30366214
New Gurgaon,Apartment,5,5,3397,8,17,3,7.55,1,0,0,2,60650103
Sector 67,Apartment,3,4,1619,8,13,2,3.48,1,1,1,4,34995457
DLF Phase 1,Builder Floor,3,4,1994,3,6,3,0.14,1,0,1,5,43444655
DLF Phase 1,Villa,2,2,1157,17,2,1,8.44,1,1,0,3,20174970
Sector 82,Apartment,4,5,1230,16,8,2,3.74,1,1,1,4,28973918
DLF Phase 1,Apartment,4,4,2426,21,32,2,9.51,0,1,0,3,47775526
Golf Course Road,Villa,3,3,2182,20,36,2,4.29,0,0,1,2,66623515
Sector 67,Apartment,2,3,1469,5,9,1,1.41,0,1,0,5,27403599
DLF Phase 1,Apartment,3,3,1905,6,23,1,7.63,0,1,1,2,35438298
DLF Phase 5,Penthouse,4,5,2936,24,7,1,8.51,0,0,1,5,70325418
Sector 57,Apartment,3,3,1982,9,31,2,6.84,1,1,0,1,37988111
Sector 84,Builder Floor,4,5,2524,9,21,4,6.92,0,0,1,5,49543960
Sector 83,Apartment,3,4,1510,5,1,4,8.89,0,0,1,5,25486472
Sohna Road,Apartment,3,3,1654,5,2,1,7.94,0,1,1,2,33428428
Sector 84,Builder Floor,4,4,2256,18,40,1,2.08,0,0,0,4,48143223
Sector 82,Apartment,2,3,1279,7,11,0,3.04,1,1,0,4,20649067
DLF Phase 1,Penthouse,3,4,2137,8,37,1,2.21,0,1,1,3,35816331
Sector 65,Apartment,5,5,2569,0,18,3,10.43,1,0,1,1,47868592
DLF Phase 5,Apartment,4,5,1620,15,44,3,7.98,0,1,1,5,54891097
Golf Course Road,Apartment,2,3,1603,5,24,1,6.5,1,0,1,3,46445740
DLF Phase 1,Apartment,2,2,928,22,19,1,12.0,0,0,1,5,19299779
DLF Phase 1,Apartment,3,3,2005,7,5,1,4.95,1,1,0,5,35267631
Sector 56,Apartment,4,5,2541,14,29,1,8.56,0,1,1,1,49254662
Sector 56,Apartment,3,3,1655,11,39,3,1.21,1,1,1,1,31844234
DLF Phase 3,Apartment,3,3,2055,9,2,2,11.19,0,0,1,3,44578873
Sector 84,Builder Floor,2,3,861,15,17,3,10.46,1,0,0,4,18786267
Sector 89,Builder Floor,3,3,2484,14,11,2,12.06,0,1,1,5,44976711
Sector 54,Builder Floor,3,3,2906,10,37,1,13.28,0,0,1,2,45745814
Sector 85,Apartment,5,6,3861,23,13,1,11.39,1,0,0,3,67848895
DLF Phase 2,Apartment,2,2,973,6,29,0,12.68,1,1,1,5,21621639
Sector 57,Builder Floor,4,5,1097,7,32,3,5.25,1,0,1,1,22504090
Sector 84,Apartment,3,3,2000,10,40,3,5.22,1,0,1,1,37202665
Sector 70,Apartment,3,3,1256,8,43,3,14.17,1,0,1,1,25029601
DLF Phase 4,Builder Floor,4,5,2168,6,8,1,13.73,1,1,0,1,51255759
Sector 84,Builder Floor,2,2,1626,14,10,3,8.27,1,1,1,4,29405163
Sector 84,Apartment,3,3,2481,14,25,0,5.56,1,0,1,4,43443621
Sector 65,Apartment,4,4,3369,15,11,1,13.0,0,1,1,5,60738768
Sector 92,Builder Floor,3,3,1841,2,28,2,4.92,1,1,0,5,38479751
Sector 85,Apartment,2,2,1451,15,33,2,2.39,1,0,1,3,30878690
DLF Phase 3,Builder Floor,3,3,963,14,39,3,9.63,1,1,0,1,32237234
Sector 54,Builder Floor,3,4,1170,24,26,2,0.74,1,0,1,1,21594107
Sector 85,Builder Floor,4,4,2238,0,8,1,5.75,1,1,1,2,43860362
DLF Phase 4,Apartment,2,2,1435,13,38,1,12.13,1,0,1,2,42408706
Sector 84,Apartment,4,5,2161,23,26,1,4.5,0,0,0,1,42113714
Sector 85,Builder Floor,2,3,1424,21,32,1,13.98,0,1,0,2,25001397
DLF Phase 5,Builder Floor,2,3,877,10,28,1,14.34,0,1,1,2,37349257
Sector 70,Builder Floor,2,2,1228,2,7,2,12.26,1,0,1,1,23910986
Sector 56,Apartment,4,5,2707,8,35,1,14.82,0,0,1,4,49520166
Sector 82,Apartment,2,3,1412,5,2,3,8.01,1,1,0,4,27260306
DLF Phase 1,Villa,4,4,2147,22,22,2,8.58,0,0,1,5,43165286
Sector 83,Builder Floor,3,4,1812,15,22,1,12.56,0,1,1,4,34280895
Sector 54,Villa,5,5,1921,10,3,2,7.44,0,0,1,1,34427501
South City 1,Builder Floor,4,4,2341,17,8,2,6.16,0,1,1,2,45002548
Sector 92,Apartment,4,4,3005,16,4,2,9.26,1,0,0,1,55145741
Golf Course Road,Builder Floor,4,4,2252,16,15,0,9.9,1,0,1,3,61183768
Palam Vihar,Villa,3,3,1485,2,44,3,11.29,1,1,0,2,28689628
Sector 83,Apartment,4,5,2837,18,39,1,10.06,1,0,0,1,49895758
DLF Phase 2,Builder Floor,2,2,1839,23,12,3,11.21,1,1,1,5,35183429
DLF Phase 1,Apartment,2,3,1808,22,29,0,10.15,1,0,0,5,28500723
Sector 57,Apartment,3,3,1909,14,9,3,7.26,1,0,1,2,34493493
Palam Vihar,Builder Floor,3,4,2123,9,42,2,2.11,1,1,1,4,43005237
Sector 65,Apartment,3,3,2488,7,40,2,11.8,0,0,1,5,44339522
Sector 84,Apartment,3,3,1901,16,20,1,0.56,1,0,1,3,33874348
Sector 82,Apartment,3,3,1993,3,34,1,14.89,0,0,1,2,35643397
Sector 89,Apartment,3,4,1664,7,26,3,12.44,1,0,1,3,32923908
Palam Vihar,Apartment,1,2,931,1,21,3,10.1,0,0,1,2,20635892
Sector 56,Apartment,5,6,3503,22,23,2,14.5,1,0,1,4,59664172
Sector 65,Villa,5,5,2812,7,18,1,9.23,1,0,0,1,53629415
Sector 70,Apartment,5,5,2597,24,24,1,0.94,0,1,1,2,51696384
Sector 57,Apartment,3,4,1019,6,42,2,8.43,1,0,1,1,26688724
Sector 67,Apartment,3,3,1136,8,29,1,4.23,1,1,0,2,23294804
DLF Phase 3,Builder Floor,5,6,2491,17,38,1,5.61,0,1,0,4,64814690
New Gurgaon,Apartment,4,4,2919,16,38,2,6.95,1,0,1,3,47554166
Sector 70,Builder Floor,4,5,2582,0,13,2,11.64,1,0,1,1,44750351
New Gurgaon,Builder Floor,3,4,1272,11,32,0,7.59,0,0,1,3,26435825
Sector 56,Builder Floor,3,3,1410,3,19,1,7.17,0,1,1,2,24122209
Sector 83,Apartment,4,5,2557,16,17,2,4.6,1,1,1,2,46818725
Golf Course Extension Road,Builder Floor,2,2,1668,6,2,1,8.14,1,1,1,4,44075337
DLF Phase 4,Apartment,3,3,1337,23,18,3,3.8,0,1,1,2,45677246
Sector 92,Villa,4,4,2657,2,39,1,3.99,1,0,1,4,52067710
South City 1,Builder Floor,3,4,1612,0,27,1,11.38,1,1,0,2,33561711
Sector 54,Apartment,3,4,1625,18,14,3,5.2,1,0,1,3,33975327
Sector 83,Apartment,3,4,1307,1,15,2,0.87,1,1,1,2,25778772
Sector 92,Apartment,5,5,3438,5,8,1,5.22,0,0,0,1,64602000
DLF Phase 4,Builder Floor,3,3,1595,10,9,2,9.61,0,0,1,5,45758628
Palam Vihar,Apartment,4,5,2203,22,21,0,12.23,0,1,1,1,37418276
Palam Vihar,Apartment,4,4,2951,24,43,2,14.43,1,1,1,1,47798091
South City 1,Apartment,3,3,2235,20,35,1,11.22,1,1,0,4,38342113
Sector 84,Builder Floor,3,4,1493,3,14,2,6.49,1,0,1,2,33809642
Sector 67,Builder Floor,3,4,1924,0,27,2,4.56,1,1,0,3,41987610
Sector 54,Builder Floor,3,3,2180,10,8,2,2.03,1,1,1,2,40766097
DLF Phase 3,Builder Floor,3,3,1722,15,35,3,9.45,0,0,1,5,45357232
Sector 57,Apartment,1,2,693,5,18,2,7.7,1,0,1,2,10410837
Golf Course Road,Apartment,2,3,1110,10,14,2,10.2,0,1,0,5,42174286
Palam Vihar,Builder Floor,2,2,1103,7,8,1,3.63,1,1,1,5,28443111
New Gurgaon,Apartment,4,4,1877,19,8,1,4.92,1,1,1,1,40809234
Sector 54,Apartment,2,2,1679,0,37,3,4.45,1,1,1,5,30678965
Sector 83,Apartment,2,3,1064,13,44,3,11.99,1,0,1,5,23227411
Sector 89,Apartment,2,2,975,20,2,1,2.65,0,1,1,3,16907743
DLF Phase 5,Apartment,3,3,1360,20,17,3,9.17,0,0,1,4,43180517
Sector 70,Villa,1,1,611,1,13,2,0.87,1,0,0,2,13008629
Sector 84,Apartment,3,3,1372,5,14,2,8.29,1,1,1,3,25251579
DLF Phase 3,Apartment,2,2,1000,8,41,0,1.05,0,1,1,4,31797793
DLF Phase 4,Apartment,4,4,2847,13,41,1,2.72,0,0,0,1,69844142
Sector 83,Builder Floor,5,6,3314,21,9,2,1.78,0,1,1,3,61395599
Sector 83,Apartment,5,6,2058,7,27,1,5.27,1,1,1,3,43713622
New Gurgaon,Villa,3,4,2104,2,20,2,5.22,1,1,0,1,38687382
DLF Phase 4,Villa,3,3,1813,9,38,4,12.41,1,0,1,5,43311045
